company,written_premium_(b),market_share,earned_premium_(b),incurred_loss_(b),loss_ratio,year
Monterey Ins Co - 23540,46770,4.9866E-05,42614,20859,0.489487023,2015
General Cas Co Of WI - 24414,45833,4.8867E-05,43113,6922,0.160554821,2015
Federated Rural Electric Ins Exch - 11118,43130,4.59851E-05,43063,-1335,-0.031001091,2015
Wausau Underwriters Ins Co - 26042,40836,4.35392E-05,42163,1301,0.030856438,2015
Indemnity Ins Co Of North Amer - 43575,39246,4.1844E-05,36188,4538,0.125400685,2015
Hudson Ins Co - 25054,37266,3.97329E-05,37508,-13312,-0.354910952,2015
National Interstate Ins Co - 32620,36254,3.86539E-05,31519,0,0,2015
Penn Amer Ins Co - 32859,31276,3.33464E-05,31401,-3398,-0.108213114,2015
Transportation Ins Co - 20494,30862,3.2905E-05,7124,-8625,-1.210696238,2015
Electric Ins Co - 21261,29250,3.11863E-05,28115,0,0,2015
Empire Fire & Marine Ins Co - 21326,28952,3.08685E-05,29978,256,0.008539596,2015
Everest Natl Ins Co  - 10120,28594,3.04868E-05,17566,1782,0.101445975,2015
Golden Eagle Ins Corp - 10836,25714,2.74162E-05,72578,-9273,-0.12776599,2015
Corepointe Ins Co - 10499,24914,2.65632E-05,24410,-501,-0.020524375,2015
American Fire & Cas Co - 24066,22498,2.39873E-05,16465,-106,-0.006437899,2015
Scottsdale Ind Co - 15580,22131,2.3596E-05,18498,4927,0.266353119,2015
AXIS Reins Co - 20370,20968,2.2356E-05,143362,19064,0.132978056,2015
Philadelphia Ind Ins Co - 18058,18905,2.01565E-05,15943,4,0.000250894,2015
St Paul Mercury Ins Co - 24791,18332,1.95455E-05,25674,-36150,-1.408039262,2015
Praetorian Ins Co - 37257,17084,1.82149E-05,19876,3920,0.197222781,2015
Diamond State Ins Co - 42048,16693,1.7798E-05,17003,997,0.058636711,2015
Public Serv Ins Co - 15059,16346,1.74281E-05,19186,6164,0.32127593,2015
Imperium Ins Co - 35408,15169,1.61731E-05,20702,14534,0.702057772,2015
Freedom Specialty Ins Co - 22209,14501,1.54609E-05,6862,5311,0.773972603,2015
Columbia Ins Co - 27812,13014,1.38755E-05,3154,2004,0.63538364,2015
North Amer Specialty Ins Co - 29874,12053,1.28509E-05,10137,2169,0.21396863,2015
New York Marine & Gen Ins Co - 16608,11004,1.17324E-05,11128,-8315,-0.747214234,2015
Allstate Ins Co - 19232,10597,1.12985E-05,9877,275,0.027842462,2015
Berkley Regional Ins Co - 29580,10388,1.10757E-05,9083,-450,-0.049543102,2015
Florists Mut Ins Co - 13978,10229,1.09061E-05,10229,0,0,2015
Amerisure Mut Ins Co - 23396,8737,9.31536E-06,5924,397,0.06701553,2015
Farmland Mut Ins Co - 13838,8621,9.19168E-06,8430,3153,0.374021352,2015
Northland Ins Co - 24015,8170,8.71083E-06,6127,2938,0.479516892,2015
National Fire Ins Co Of Hartford - 20478,6611,7.04863E-06,3407,-4516,-1.325506311,2015
Berkley Natl Ins Co - 38911,6594,7.0305E-06,8056,-1586,-0.196871897,2015
Pacific Ind Co - 20346,6516,6.94734E-06,6817,1671,0.245122488,2015
Berkshire Hathaway Specialty Ins Co - 22276,5410,5.76813E-06,373,238,0.638069705,2015
Alaska Natl Ins Co - 38733,5338,5.69136E-06,7927,139387,17.58382743,2015
Netherlands Ins Co The - 24171,4802,5.11988E-06,4852,-381,-0.07852432,2015
Technology Ins Co Inc - 42376,4788,5.10495E-06,2104,485,0.230513308,2015
Acceptance Ind Ins Co - 20010,4714,5.02605E-06,1302,25,0.019201229,2015
Mid Century Ins Co - 21687,4393,4.6838E-06,5271,-5655,-1.072851451,2015
Star Ins Co - 18023,3547,3.7818E-06,2457,17,0.006919007,2015
Capitol Ind Corp - 10472,3464,3.69331E-06,2850,551,0.193333333,2015
Great Divide Ins Co - 25224,3036,3.23697E-06,6668,79,0.01184763,2015
Employers Ins  of Wausau - 21458,2914,3.1069E-06,1530,-268,-0.175163399,2015
Middlesex Ins Co - 23434,2744,2.92564E-06,2581,-194,-0.075164665,2015
Markel Ins Co - 38970,2130,2.271E-06,4799,8605,1.793081892,2015
Valley Forge Ins Co - 20508,2064,2.20063E-06,2824,780,0.276203966,2015
St Paul Guardian Ins Co - 24775,1444,1.53959E-06,4569,-8912,-1.950536222,2015
American Family Home Ins Co - 23450,1309,1.39565E-06,1370,-54982,-40.13284672,2015
National Cas Co - 11991,1136,1.2112E-06,1109,954,0.860234445,2015
Vanliner Ins Co - 21172,1050,1.11951E-06,3715,0,0,2015
Geovera Specialty Ins Co - 10182,900,9.59577E-07,1010,423,0.418811881,2015
Samsung Fire & Marine Ins Co Ltd - 38300,898,9.57445E-07,4568,4000,0.875656743,2015
American Ins Co - 21857,593,6.32255E-07,533,-13885,-26.05065666,2015
Utica Mut Ins Co - 25976,560,5.9707E-07,550,12502,22.73090909,2015
Regent Ins Co - 24449,480,5.11775E-07,838,1,0.001193317,2015
Allied World Specialty Ins Co - 16624,359,3.82765E-07,761,-1168,-1.534822602,2015
FMH Ag Risk Ins Co  - 36781,303,3.23058E-07,303,0,0,2015
Great Amer Alliance Ins Co - 26832,289,3.08131E-07,65,-13,-0.2,2015
North Pointe Ins Co - 27740,255,2.7188E-07,105,16,0.152380952,2015
Chubb Natl Ins Co - 10052,204,2.17504E-07,60,-1738,-28.96666667,2015
Atain Ins Co - 29033,67,7.14352E-08,218,0,0,2015
Ace Amer Ins Co - 22667," 139,977 ",0.0142%," 139,522 "," (16,244,311)",-11642.83%,2014
Ace Prop & Cas Ins Co - 20699," 19,379 ",0.0020%," 3,186 ", 196 ,6.15%,2014
Affiliated Fm Ins Co - 10014," 30,526,845 ",3.1007%," 30,360,622 "," 9,296,157 ",30.62%,2014
Alaska Natl Ins Co - 38733," 7,977 ",0.0008%," 25,528 "," 252,151 ",987.74%,2014
Allianz Global Risks US Ins Co - 35300," 15,309,775 ",1.5550%," 14,561,135 "," 277,028 ",1.90%,2014
Allied Prop & Cas Ins Co - 42579," 12,141,316 ",1.2332%," 12,172,268 "," 3,647,398 ",29.96%,2014
Allied World Assur Co US Inc - 19489," 2,768,377 ",0.2812%," 2,351,827 "," 523,227 ",22.25%,2014
Allied World Specialty Ins Co - 16624," 1,842 ",0.0002%," 4,092 ", (777),-18.99%,2014
Allstate Ins Co - 19232," 8,519 ",0.0009%," 8,019 "," 3,587 ",44.73%,2014
Amco Ins Co - 19100," 37,283,455 ",3.7869%," 36,453,589 "," 9,556,924 ",26.22%,2014
American Alt Ins Corp - 19720," 218,066 ",0.0221%," (209,731)"," (293,499)",139.94%,2014
American Automobile Ins Co - 21849," 5,874 ",0.0006%," 5,874 ", (44),-0.75%,2014
American Cas Co Of Reading PA - 20427," 79,792 ",0.0081%," 50,009 "," 6,984 ",13.97%,2014
American Economy Ins Co - 19690," 295,224 ",0.0300%," 312,596 "," 103,915 ",33.24%,2014
American Family Home Ins Co - 23450," 2,779 ",0.0003%," 2,779 "," 50,466 ",1815.98%,2014
American Fire & Cas Co - 24066," 12,081 ",0.0012%," 10,759 ", 289 ,2.69%,2014
American Guar & Liab Ins - 26247," 11,038,908 ",1.1212%," 11,746,273 "," (1,687,146)",-14.36%,2014
American Home Assur Co - 19380," 4,421,781 ",0.4491%," 2,131,602 "," 303,832 ",14.25%,2014
American Ins Co - 21857," 6,220 ",0.0006%," 33,679 "," (32,734)",-97.19%,2014
American Modern Home Ins Co - 23469," 21,584,285 ",2.1923%," 15,080,778 "," 9,375,749 ",62.17%,2014
American Reliable Ins Co - 19615," 1,244,226 ",0.1264%," 1,277,267 "," 1,119,045 ",87.61%,2014
American Security Ins Co - 42978," 70,966,849 ",7.2082%," 78,666,485 "," 14,057,073 ",17.87%,2014
American States Ins Co - 19704," 601,089 ",0.0611%," 639,304 "," 179,929 ",28.14%,2014
American Zurich Ins Co - 40142," 37,543 ",0.0038%," 34,702 "," (1,486)",-4.28%,2014
Amerisure Mut Ins Co - 23396," 2,450 ",0.0002%," 2,025 ", 140 ,6.91%,2014
Amica Mut Ins Co - 19976," 770,949 ",0.0783%," 728,853 "," 48,444 ",6.65%,2014
Arch Ins Co - 11150," 1,263,235 ",0.1283%," 1,388,673 "," (284,179)",-20.46%,2014
Armed Forces Ins Exch - 41459," 342,527 ",0.0348%," 345,837 "," 199,547 ",57.70%,2014
Aspen Amer Ins Co - 43460," 889,907 ",0.0904%," 710,463 "," 500,414 ",70.43%,2014
Associated Ind Corp - 21865," 3,917,821 ",0.3979%," 3,936,067 "," 242,686 ",6.17%,2014
Atain Ins Co - 29033," 1,225 ",0.0001%," 1,074 ", -   ,0.00%,2014
Atlantic Specialty Ins Co - 27154," 360,792 ",0.0366%," 535,649 "," 1,051,543 ",196.31%,2014
AXA Ins Co - 33022," 3,452,683 ",0.3507%," 2,807,891 "," (1,010,116)",-35.97%,2014
Axis Ins Co - 37273," 8,005,670 ",0.8131%," 7,572,586 "," 26,723,860 ",352.90%,2014
AXIS Reins Co - 20370," 262,771 ",0.0267%," 257,873 "," 24,139 ",9.36%,2014
Berkley Natl Ins Co - 38911," 39,766 ",0.0040%," 37,136 ", 886 ,2.39%,2014
Berkley Regional Ins Co - 29580," 7,712 ",0.0008%," 6,592 "," (2,842)",-43.11%,2014
California Capital Ins Co - 13544," 13,933,848 ",1.4153%," 13,291,929 "," 1,230,273 ",9.26%,2014
California Cas Ind Exch - 20117," 184,627 ",0.0188%," 178,553 "," 53,834 ",30.15%,2014
California Mut Ins Co - 27480," 172,274 ",0.0175%," 167,823 "," (5,500)",-3.28%,2014
Capitol Ind Corp - 10472, 407 ,0.0000%, 58 , 13 ,22.41%,2014
Catlin Ind Co - 24503, 135 ,0.0000%, 188 , (24),-12.77%,2014
Century Natl Ins Co - 26905," 6,852,512 ",0.6960%," 7,026,075 "," 465,376 ",6.62%,2014
Church Mut Ins Co - 18767," 108,350 ",0.0110%," 102,008 "," 288,021 ",282.35%,2014
Citizens Ins Co Of Amer - 31534," 162,730 ",0.0165%," 165,980 "," 36,039 ",21.71%,2014
Civic Prop & Cas Co  - 10315," 1,947,179 ",0.1978%," 1,887,944 "," 481,522 ",25.51%,2014
Civil Serv Employees Ins Co - 10693," 4,870,354 ",0.4947%," 4,981,387 "," 160,554 ",3.22%,2014
Coastal Select Ins Co - 10887," 93,747 ",0.0095%," 94,622 "," 28,216 ",29.82%,2014
Continental Cas Co - 20443," 5,146,120 ",0.5227%," 5,560,638 "," 1,736,109 ",31.22%,2014
Continental Ins Co - 35289," 237,246 ",0.0241%," 280,531 "," 240,084 ",85.58%,2014
Corepointe Ins Co - 10499," 27,999 ",0.0028%," 23,099 ", -   ,0.00%,2014
Crestbrook Ins Co - 18961," 9,131 ",0.0009%," 7,030 "," 2,990 ",42.53%,2014
Crusader Ins Co - 14010," 89,327 ",0.0091%," 85,574 "," (23,043)",-26.93%,2014
CSAA Fire & Cas Ins Co - 10921," 50,099,368 ",5.0887%," 48,946,480 "," 22,879,748 ",46.74%,2014
CSAA Ins Exch - 15539," 1,924,952 ",0.1955%," 1,844,366 "," 609,225 ",33.03%,2014
CSE Safeguard Ins Co - 18953," 8,665,193 ",0.8801%," 8,249,655 "," 1,878,279 ",22.77%,2014
Diamond State Ins Co - 42048," 21,191 ",0.0022%," 12,558 "," 2,234 ",17.79%,2014
Dorinco Reins Co - 33499," 1,477,019 ",0.1500%," 1,498,058 ", -   ,0.00%,2014
Eagle W Ins Co - 12890," 696,322 ",0.0707%," 643,279 "," 4,722 ",0.73%,2014
Electric Ins Co - 21261," 26,847 ",0.0027%," 25,676 ", -   ,0.00%,2014
Empire Fire & Marine Ins Co - 21326," 38,513 ",0.0039%," 31,509 ", 489 ,1.55%,2014
Employers Mut Cas Co - 21415," 1,055,239 ",0.1072%," 993,163 "," 1,535,184 ",154.58%,2014
Encompass Ins Co - 10358," 5,131,216 ",0.5212%," 5,020,746 "," 3,381,588 ",67.35%,2014
Everest Natl Ins Co  - 10120," 41,337 ",0.0042%," 34,657 "," 9,561 ",27.59%,2014
Exact Prop & Cas Co Inc - 10318," 1,779,066 ",0.1807%," 1,745,940 "," 131,891 ",7.55%,2014
Factory Mut Ins Co - 21482," 26,056,140 ",2.6466%," 28,387,608 "," 11,142,297 ",39.25%,2014
Farmers Ins Exch - 21652," 14,360,754 ",1.4586%," 15,491,028 "," 5,818,838 ",37.56%,2014
Farmland Mut Ins Co - 13838," 6,181 ",0.0006%," 3,552 "," 2,048 ",57.66%,2014
Federal Ins Co - 20281," 1,159,798 ",0.1178%," 1,212,700 "," 260,909 ",21.51%,2014
Federated Mut Ins Co - 13935," 3,167,630 ",0.3217%," 3,103,021 "," (369,105)",-11.90%,2014
Federated Rural Electric Ins Exch - 11118," 43,146 ",0.0044%," 42,786 ", 412 ,0.96%,2014
Federated Serv Ins Co - 28304," 674,989 ",0.0686%," 714,902 "," (20,837)",-2.91%,2014
Fidelity & Deposit Co Of MD  - 39306," 5,654,600 ",0.5743%," 5,581,355 "," 1,858,766 ",33.30%,2014
Financial Pacific Ins Co - 31453," 2,002,208 ",0.2034%," 1,960,114 "," 412,032 ",21.02%,2014
Fire Ins Exch - 21660," 88,268,332 ",8.9655%," 95,151,919 "," 28,797,760 ",30.27%,2014
Firemans Fund Ins Co - 21873," 3,433,683 ",0.3488%," 3,667,953 "," 705,515 ",19.23%,2014
First Amer Prop & Cas Ins Co - 37710," 110,756 ",0.0112%," 110,756 "," 214,192 ",193.39%,2014
First Amer Specilaty Ins Co - 34525," 23,218,388 ",2.3583%," 21,400,524 "," 13,980,223 ",65.33%,2014
First Natl Ins Co Of Amer - 24724," 393,121 ",0.0399%," 389,413 "," 71,282 ",18.30%,2014
Florists Mut Ins Co - 13978," 16,500 ",0.0017%," 16,500 ", -   ,0.00%,2014
Foremost Ins Co Grand Rapids MI - 11185," 23,787,326 ",2.4161%," 23,413,638 "," 10,885,988 ",46.49%,2014
Freedom Specialty Ins Co - 22209," 1,545 ",0.0002%, 643 ," 1,000 ",155.52%,2014
Garrison Prop & Cas Ins Co - 21253," 1,535,906 ",0.1560%," 1,437,757 "," 510,524 ",35.51%,2014
General Cas Co Of WI - 24414," 46,503 ",0.0047%," 40,694 "," 2,843 ",6.99%,2014
General Ins Co Of Amer - 24732," 475,680 ",0.0483%," 531,982 "," 2,549 ",0.48%,2014
Geovera Ins Co - 10799," 558,911 ",0.0568%," 550,396 "," (49,608)",-9.01%,2014
Geovera Specialty Ins Co - 10182," 1,105 ",0.0001%," 1,190 ", 349 ,29.33%,2014
Golden Bear Ins Co - 39861," 1,191,884 ",0.1211%," 987,018 "," 242,960 ",24.62%,2014
Golden Eagle Ins Corp - 10836," 169,374 ",0.0172%," 219,622 "," 1,568 ",0.71%,2014
Grange Ins Assn - 22101," 751,673 ",0.0763%," 759,306 "," 582,246 ",76.68%,2014
Granite State Ins Co - 23809," 587,050 ",0.0596%," 588,205 "," (433,677)",-73.73%,2014
Great Amer Alliance Ins Co - 26832," 14,937 ",0.0015%," 14,993 "," 4,897 ",32.66%,2014
Great Amer Assur Co - 26344," 100,111 ",0.0102%," 99,678 "," 15,866 ",15.92%,2014
Great Amer Ins Co - 16691," 116,046 ",0.0118%," 155,797 "," 2,903 ",1.86%,2014
Great Amer Ins Co of NY - 22136," 1,851,783 ",0.1881%," 2,025,098 "," (992,073)",-48.99%,2014
Great Amer Spirit Ins Co - 33723, 2 ,0.0000%, 2 , 1 ,50.00%,2014
Great Divide Ins Co - 25224," 14,307 ",0.0015%," 17,013 "," (8,353)",-49.10%,2014
Great Northern Ins Co - 20303," 285,602 ",0.0290%," 283,865 "," 13,348 ",4.70%,2014
Greenwich Ins Co - 22322," 744,301 ",0.0756%," 686,888 "," (201,061)",-29.27%,2014
Guideone Mut Ins Co - 15032," 36,992 ",0.0038%," 56,634 "," 13,291 ",23.47%,2014
Guideone Specialty Mut Ins Co - 14559," 279,600 ",0.0284%," 222,274 "," 99,513 ",44.77%,2014
Hanover Amer Ins Co - 36064," 62,974 ",0.0064%," 61,594 ", 870 ,1.41%,2014
Hanover Ins Co - 22292," 290,761 ",0.0295%," 244,872 "," 81,199 ",33.16%,2014
Harco Natl Ins Co - 26433," 98,624 ",0.0100%," 90,880 "," 34,573 ",38.04%,2014
Hartford Cas Ins Co - 29424," 222,643 ",0.0226%," 222,953 ", 14 ,0.01%,2014
Hartford Underwriters Ins Co - 30104," 1,627,648 ",0.1653%," 1,611,392 "," 264,208 ",16.40%,2014
Horace Mann Ins Co - 22578," 693,418 ",0.0704%," 687,074 "," 499,305 ",72.67%,2014
Horace Mann Prop & Cas Ins Co - 22756," 149,607 ",0.0152%," 150,280 "," 34,820 ",23.17%,2014
Hudson Ins Co - 25054," 40,888 ",0.0042%," 45,668 "," 71,794 ",157.21%,2014
Imperium Ins Co - 35408," 26,298 ",0.0027%," 28,412 ", -   ,0.00%,2014
Indemnity Ins Co Of North Amer - 43575," 2,429 ",0.0002%," 2,385 ", 191 ,8.01%,2014
Insurance Co of N Amer - 22713," 654,115 ",0.0664%," 563,430 "," 204,940 ",36.37%,2014
Insurance Co Of The State Of PA - 19429," 15,619,805 ",1.5865%," 13,381,564 "," 659,463 ",4.93%,2014
Integon Natl Ins Co - 29742," 106,845 ",0.0109%," 23,290 "," 8,559 ",36.75%,2014
Interins Exch Of The Automobile Club - 15598," 19,735,444 ",2.0046%," 18,972,618 "," 7,533,133 ",39.71%,2014
Kemper Independence Ins Co - 10914," 3,855,880 ",0.3916%," 3,767,764 "," 690,459 ",18.33%,2014
Liberty Mut Fire Ins Co - 23035," 35,600,905 ",3.6160%," 35,051,309 "," 21,462,454 ",61.23%,2014
Liberty Mut Ins Co - 23043," 3,762,865 ",0.3822%," 3,564,896 "," 1,259,413 ",35.33%,2014
Mapfre Ins Co - 23876," 217,954 ",0.0221%," 133,903 "," 74,298 ",55.49%,2014
Markel Amer Ins Co - 28932," 426,148 ",0.0433%," 426,148 "," 259,717 ",60.95%,2014
Markel Ins Co - 38970, 150 ,0.0000%," 16,398 ", 18 ,0.11%,2014
Massachusetts Bay Ins Co - 22306," 81,968 ",0.0083%," 84,950 "," (3,640)",-4.28%,2014
Mercury Cas Co - 11908," 13,927,414 ",1.4146%," 13,546,096 "," 5,842,645 ",43.13%,2014
Metropolitan Drt Prop & Cas Ins Co - 25321," 71,795 ",0.0073%," 64,698 "," 17,610 ",27.22%,2014
Mid Century Ins Co - 21687," 5,317 ",0.0005%," 6,619 "," 210,459 ",3179.62%,2014
Middlesex Ins Co - 23434," 2,458 ",0.0002%," 3,938 ", 74 ,1.88%,2014
Mitsui Sumitomo Ins Co of Amer - 20362," 217,613 ",0.0221%," 211,109 "," 70,693 ",33.49%,2014
Mitsui Sumitomo Ins USA Inc - 22551," 36,453 ",0.0037%," 40,796 "," 10,200 ",25.00%,2014
Monterey Ins Co - 23540," 38,849 ",0.0039%," 37,498 "," 12,610 ",33.63%,2014
National Cas Co - 11991," 2,096 ",0.0002%," 3,205 ", 663 ,20.69%,2014
National Farmers Union Prop & Cas - 16217," 2,033 ",0.0002%," 4,782 "," 1,511 ",31.60%,2014
National Fire Ins Co Of Hartford - 20478," 3,076 ",0.0003%," 8,010 ", (103),-1.29%,2014
National Interstate Ins Co - 32620," 7,998 ",0.0008%," 7,492 ", -   ,0.00%,2014
National Surety Corp - 21881," 6,420 ",0.0007%," 6,420 "," (2,467)",-38.43%,2014
National Union Fire Ins Co Of Pitts - 19445," 8,620,461 ",0.8756%," 7,868,281 "," (58,121)",-0.74%,2014
Nationwide Agribusiness Ins Co - 28223," 1,445,136 ",0.1468%," 1,029,395 "," 576,114 ",55.97%,2014
Nationwide Ins Co Of Amer - 25453," 2,959,663 ",0.3006%," 2,786,403 "," 1,439,893 ",51.68%,2014
Nationwide Mut Fire Ins Co - 23779," 293,508 ",0.0298%," 303,165 "," 62,675 ",20.67%,2014
Nationwide Mut Ins Co - 23787," 6,867,996 ",0.6976%," 6,472,467 "," 3,758,824 ",58.07%,2014
Neighborhood Spirit Prop & Cas Co - 10317," 8,222,856 ",0.8352%," 8,133,957 "," 4,053,169 ",49.83%,2014
Netherlands Ins Co The - 24171," 11,195 ",0.0011%," 18,233 ", (198),-1.09%,2014
New Hampshire Ins Co - 23841," 42,480 ",0.0043%," 31,792 "," 1,702 ",5.35%,2014
New York Marine & Gen Ins Co - 16608," 16,489 ",0.0017%," 27,096 "," 175,418 ",647.39%,2014
Northland Ins Co - 24015," 5,414 ",0.0005%," 5,167 "," 2,117 ",40.97%,2014
Nova Cas Co - 42552," 96,604 ",0.0098%," 92,083 "," 72,706 ",78.96%,2014
Ohio Cas Ins Co - 24074," 299,684 ",0.0304%," 123,653 "," 7,375 ",5.96%,2014
Ohio Security Ins Co - 24082," 638,914 ",0.0649%," 246,750 "," 33,116 ",13.42%,2014
Oregon Mut Ins Co - 14907," 1,373,428 ",0.1395%," 1,411,248 "," 42,539 ",3.01%,2014
Pacific Employers Ins Co - 22748," 550,314 ",0.0559%," 257,428 "," 26,735 ",10.39%,2014
Pacific Ind Co - 20346," 6,934 ",0.0007%," 6,923 "," 2,260 ",32.64%,2014
Pacific Prop & Cas Co - 11048," 142,722 ",0.0145%," 123,353 "," 27,436 ",22.24%,2014
Peerless Ind Ins Co - 18333," 173,148 ",0.0176%," 195,876 "," 32,622 ",16.65%,2014
Peerless Ins Co - 24198," 9,406,434 ",0.9554%," 10,946,976 "," 2,140,889 ",19.56%,2014
Penn Amer Ins Co - 32859," 36,515 ",0.0037%," 39,305 "," 3,675 ",9.35%,2014
Pennsylvania Lumbermens Mut Ins - 14974," 402,932 ",0.0409%," 273,932 ", -   ,0.00%,2014
Philadelphia Ind Ins Co - 18058," 15,653 ",0.0016%," 10,194 ", 6 ,0.06%,2014
Praetorian Ins Co - 37257," 20,428 ",0.0021%," 21,147 "," 8,155 ",38.56%,2014
QBE Ins Corp - 39217," 1,827,739 ",0.1856%," 1,606,989 "," 617,794 ",38.44%,2014
Regent Ins Co - 24449, 773 ,0.0001%, 748 , 29 ,3.88%,2014
Residence Mut Ins Co - 15776," 2,363,202 ",0.2400%," 2,320,576 "," 532,727 ",22.96%,2014
Riverport Ins Co - 36684," 1,239,620 ",0.1259%," 1,212,067 "," 57,981 ",4.78%,2014
RSUI Ind Co - 22314," 1,825,473 ",0.1854%," 1,910,596 "," 237,281 ",12.42%,2014
Safeco Ins Co Of Amer - 24740," 66,623,618 ",6.7671%," 64,788,692 "," 21,548,663 ",33.26%,2014
Samsung Fire & Marine Ins Co Ltd - 38300," 18,276 ",0.0019%," 16,663 "," (1,000)",-6.00%,2014
Scottsdale Ind Co - 15580," 14,005 ",0.0014%," 14,686 "," 2,907 ",19.79%,2014
Security Natl Ins Co - 19879," 842,954 ",0.0856%," 857,566 "," (663,274)",-77.34%,2014
Seneca Ins Co Inc - 10936," 1,047,108 ",0.1064%," 1,133,804 "," 350,874 ",30.95%,2014
Sentry Ins A Mut Co - 24988," 2,748,895 ",0.2792%," 2,737,344 "," 7,142,618 ",260.93%,2014
Sentry Select Ins Co - 21180," 1,240,754 ",0.1260%," 1,324,539 "," 2,235,306 ",168.76%,2014
Sequoia Ins Co - 22985," 218,645 ",0.0222%," 211,191 "," 90,264 ",42.74%,2014
Sompo Japan Ins Co of Amer - 11126," 3,242,829 ",0.3294%," 4,706,181 "," 923,477 ",19.62%,2014
St Paul Fire & Marine Ins Co - 24767," 1,147,680 ",0.1166%," 1,159,410 "," 146,100 ",12.60%,2014
St Paul Guardian Ins Co - 24775," 7,440 ",0.0008%," 6,541 "," (10,240)",-156.55%,2014
St Paul Mercury Ins Co - 24791," 26,086 ",0.0026%," 39,827 "," (17,130)",-43.01%,2014
Standard Fire Ins Co - 19070," 2,217,363 ",0.2252%," 2,164,826 "," 378,091 ",17.47%,2014
Standard Guar Ins Co - 42986," 127,696 ",0.0130%," 123,453 "," (4,761)",-3.86%,2014
Star Ins Co - 18023," 2,104 ",0.0002%," 1,598 ", (117),-7.32%,2014
Starnet Ins Co - 40045," 82,946 ",0.0084%," 109,680 "," (32,259)",-29.41%,2014
Starr Ind & Liab Co - 38318," 243,396 ",0.0247%," 130,761 "," 64,277 ",49.16%,2014
State Farm Gen Ins Co - 25151," 8,847,938 ",0.8987%," 8,810,638 "," 2,598,550 ",29.49%,2014
Stillwater Ins Co - 25180," 2,673,072 ",0.2715%," 2,511,830 "," 868,604 ",34.58%,2014
Sutter Ins Co - 32107," 207,474 ",0.0211%," 215,896 "," 82,456 ",38.19%,2014
Technology Ins Co Inc - 42376, 831 ,0.0001%, 71 , 16 ,22.54%,2014
TNUS Ins Co - 32301, 5 ,0.0000%, 5 , -   ,0.00%,2014
Tokio Marine Amer Ins Co - 10945," 6,907,474 ",0.7016%," 7,098,607 "," (1,026,767)",-14.46%,2014
Topa Ins Co - 18031," 630,097 ",0.0640%," 694,791 "," (48,393)",-6.97%,2014
Transguard Ins Co Of Amer Inc - 28886," 52,765 ",0.0054%," 53,117 "," 16,816 ",31.66%,2014
Transportation Ins Co - 20494," 1,061 ",0.0001%," 15,131 "," 12,712 ",84.01%,2014
Travelers Cas & Surety Co - 19038," 1,422,432 ",0.1445%," 1,382,983 "," 163,975 ",11.86%,2014
Travelers Ind Co - 25658," 24,566 ",0.0025%," 9,308 ", -   ,0.00%,2014
Travelers Ind Co Of CT - 25682," 784,035 ",0.0796%," 810,922 "," 1,800,496 ",222.03%,2014
Travelers Prop Cas Co Of Amer - 25674," 40,243,094 ",4.0875%," 41,063,892 "," 34,723,394 ",84.56%,2014
Travelers Prop Cas Ins Co - 36161," 11,816,764 ",1.2002%," 11,932,444 "," 6,990,598 ",58.58%,2014
Truck Ins Exch - 21709," 612,359 ",0.0622%," 597,248 "," 420,307 ",70.37%,2014
Unigard Ins Co - 25747," 3,606,189 ",0.3663%," 3,738,689 "," 36,158 ",0.97%,2014
United Cas Ins Co Of Amer - 11142," 635,939 ",0.0646%," 636,638 "," 79,781 ",12.53%,2014
United Fire & Cas Co - 13021," 769,665 ",0.0782%," 136,033 "," 4,110 ",3.02%,2014
United Serv Automobile Assn - 25941," 18,253,406 ",1.8540%," 18,083,768 "," 3,237,221 ",17.90%,2014
United States Fire Ins Co - 21113," 15,460 ",0.0016%," (283,794)"," (38,882)",13.70%,2014
United States Liab Ins Co - 25895," 5,494,057 ",0.5580%," 5,181,213 "," 2,455,612 ",47.39%,2014
Universal N Amer Ins Co - 10759," 14,324,459 ",1.4550%," 13,644,832 "," 6,230,608 ",45.66%,2014
Universal Underwriters Ins Co - 41181," 987,579 ",0.1003%," 915,762 "," 823,787 ",89.96%,2014
USAA Cas Ins Co - 25968," 9,632,646 ",0.9784%," 9,470,598 "," 1,153,908 ",12.18%,2014
USAA Gen Ind Co - 18600," 1,247,081 ",0.1267%," 1,098,079 "," 9,141 ",0.83%,2014
Utica Mut Ins Co - 25976, 626 ,0.0001%, 185 , 29 ,15.68%,2014
Valley Forge Ins Co - 20508," 10,177 ",0.0010%," 14,332 ", 440 ,3.07%,2014
Vanliner Ins Co - 21172," 9,331 ",0.0009%," 9,838 ", -   ,0.00%,2014
Verlan Fire Ins Co MD - 10815," 3,426,781 ",0.3481%," 3,176,637 "," 6,250 ",0.20%,2014
Vigilant Ins Co - 20397," 74,733 ",0.0076%," 84,274 "," 26,469 ",31.41%,2014
Wausau Underwriters Ins Co - 26042," 44,569 ",0.0045%," 36,708 "," 3,727 ",10.15%,2014
Wawanesa Gen Ins Co - 10683," 104,891 ",0.0107%," 97,601 "," 33,013 ",33.82%,2014
Wesco Ins Co - 25011," 1,009,717 ",0.1026%," 889,627 "," 171,033 ",19.23%,2014
West Amer Ins Co - 44393," 716,261 ",0.0728%," 278,392 "," 11,953 ",4.29%,2014
