Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
2015,Annual,Denair CDP,Not Adj,Not Prelim,2400,2200,200,0.088
2014,Annual,Denair CDP,Not Adj,Not Prelim,2400,2100,200,0.104
2013,Annual,Denair CDP,Not Adj,Not Prelim,2400,2100,300,0.120
2012,Annual,Denair CDP,Not Adj,Not Prelim,2400,2100,300,0.138
2011,Annual,Denair CDP,Not Adj,Not Prelim,2400,2000,400,0.154
2010,Annual,Denair CDP,Not Adj,Not Prelim,2400,2000,400,0.157
2019,Annual,Derby Acres CDP,Not Adj,Not Prelim,100,100,0,0.017
2018,Annual,Derby Acres CDP,Not Adj,Not Prelim,100,100,0,0.017
2017,Annual,Derby Acres CDP,Not Adj,Not Prelim,100,100,0,0.017
2016,Annual,Derby Acres CDP,Not Adj,Not Prelim,100,100,0,0.017
2015,Annual,Derby Acres CDP,Not Adj,Not Prelim,100,100,0,0.017
2014,Annual,Derby Acres CDP,Not Adj,Not Prelim,100,100,0,0.017
2013,Annual,Derby Acres CDP,Not Adj,Not Prelim,100,100,0,0.017
2012,Annual,Derby Acres CDP,Not Adj,Not Prelim,100,100,0,0.026
2011,Annual,Derby Acres CDP,Not Adj,Not Prelim,100,100,0,0.027
2010,Annual,Derby Acres CDP,Not Adj,Not Prelim,100,100,0,0.028
2019,Annual,Desert Hot Springs city,Not Adj,Not Prelim,11700,11000,700,0.056
2018,Annual,Desert Hot Springs city,Not Adj,Not Prelim,11500,10800,700,0.058
2017,Annual,Desert Hot Springs city,Not Adj,Not Prelim,11400,10600,800,0.069
2016,Annual,Desert Hot Springs city,Not Adj,Not Prelim,11200,10400,900,0.076
2015,Annual,Desert Hot Springs city,Not Adj,Not Prelim,11100,10200,900,0.080
2014,Annual,Desert Hot Springs city,Not Adj,Not Prelim,11000,9900,1100,0.097
2013,Annual,Desert Hot Springs city,Not Adj,Not Prelim,10900,9600,1300,0.117
2012,Annual,Desert Hot Springs city,Not Adj,Not Prelim,10900,9400,1500,0.137
2011,Annual,Desert Hot Springs city,Not Adj,Not Prelim,10900,9200,1700,0.154
2010,Annual,Desert Hot Springs city,Not Adj,Not Prelim,10900,9200,1800,0.162
2019,Annual,Desert View Highlands CDP,Not Adj,Not Prelim,1100,1000,100,0.071
2018,Annual,Desert View Highlands CDP,Not Adj,Not Prelim,1100,1000,100,0.074
2017,Annual,Desert View Highlands CDP,Not Adj,Not Prelim,1100,1000,100,0.076
2016,Annual,Desert View Highlands CDP,Not Adj,Not Prelim,1000,1000,100,0.083
2015,Annual,Desert View Highlands CDP,Not Adj,Not Prelim,1000,900,100,0.104
2014,Annual,Desert View Highlands CDP,Not Adj,Not Prelim,1100,900,100,0.128
2013,Annual,Desert View Highlands CDP,Not Adj,Not Prelim,1100,900,200,0.150
2012,Annual,Desert View Highlands CDP,Not Adj,Not Prelim,1100,900,200,0.167
2011,Annual,Desert View Highlands CDP,Not Adj,Not Prelim,1100,900,200,0.185
2010,Annual,Desert View Highlands CDP,Not Adj,Not Prelim,1100,900,200,0.190
2019,Annual,Diablo CDP,Not Adj,Not Prelim,100,100,0,0.000
2018,Annual,Diablo CDP,Not Adj,Not Prelim,100,100,0,0.000
2017,Annual,Diablo CDP,Not Adj,Not Prelim,100,100,0,0.000
2016,Annual,Diablo CDP,Not Adj,Not Prelim,100,100,0,0.000
2015,Annual,Diablo CDP,Not Adj,Not Prelim,100,100,0,0.000
2014,Annual,Diablo CDP,Not Adj,Not Prelim,100,100,0,0.000
2013,Annual,Diablo CDP,Not Adj,Not Prelim,100,100,0,0.000
2012,Annual,Diablo CDP,Not Adj,Not Prelim,100,100,0,0.000
2011,Annual,Diablo CDP,Not Adj,Not Prelim,100,100,0,0.000
2010,Annual,Diablo CDP,Not Adj,Not Prelim,100,100,0,0.000
2019,Annual,Diamond Bar city,Not Adj,Not Prelim,30500,29400,1100,0.036
2018,Annual,Diamond Bar city,Not Adj,Not Prelim,30300,29200,1100,0.036
2017,Annual,Diamond Bar city,Not Adj,Not Prelim,30300,29100,1100,0.038
2016,Annual,Diamond Bar city,Not Adj,Not Prelim,30100,28800,1300,0.043
2015,Annual,Diamond Bar city,Not Adj,Not Prelim,29300,28100,1200,0.042
2014,Annual,Diamond Bar city,Not Adj,Not Prelim,29300,27700,1600,0.053
2013,Annual,Diamond Bar city,Not Adj,Not Prelim,29100,27300,1800,0.063
2012,Annual,Diamond Bar city,Not Adj,Not Prelim,28700,26700,2000,0.071
2011,Annual,Diamond Bar city,Not Adj,Not Prelim,28700,26400,2300,0.079
2010,Annual,Diamond Bar city,Not Adj,Not Prelim,28600,26300,2300,0.082
2019,Annual,Diamond Springs CDP,Not Adj,Not Prelim,5300,5000,200,0.046
2018,Annual,Diamond Springs CDP,Not Adj,Not Prelim,5200,5000,200,0.047
2017,Annual,Diamond Springs CDP,Not Adj,Not Prelim,5200,4900,300,0.057
2016,Annual,Diamond Springs CDP,Not Adj,Not Prelim,5100,4800,300,0.066
2015,Annual,Diamond Springs CDP,Not Adj,Not Prelim,5100,4700,400,0.074
2014,Annual,Diamond Springs CDP,Not Adj,Not Prelim,5100,4600,500,0.090
2013,Annual,Diamond Springs CDP,Not Adj,Not Prelim,5200,4600,600,0.109
2012,Annual,Diamond Springs CDP,Not Adj,Not Prelim,5200,4500,700,0.130
2011,Annual,Diamond Springs CDP,Not Adj,Not Prelim,5300,4500,800,0.149
2010,Annual,Diamond Springs CDP,Not Adj,Not Prelim,5400,4500,800,0.155
2019,Annual,Dinuba city,Not Adj,Not Prelim,10700,9300,1400,0.131
2018,Annual,Dinuba city,Not Adj,Not Prelim,10600,9200,1400,0.133
2017,Annual,Dinuba city,Not Adj,Not Prelim,10700,9200,1500,0.141
2016,Annual,Dinuba city,Not Adj,Not Prelim,10700,9100,1600,0.151
2015,Annual,Dinuba city,Not Adj,Not Prelim,10600,9000,1700,0.157
2014,Annual,Dinuba city,Not Adj,Not Prelim,10500,8700,1800,0.176
2013,Annual,Dinuba city,Not Adj,Not Prelim,10700,8700,2000,0.191
2012,Annual,Dinuba city,Not Adj,Not Prelim,10800,8500,2300,0.214
2011,Annual,Dinuba city,Not Adj,Not Prelim,11000,8500,2500,0.225
2010,Annual,Dinuba city,Not Adj,Not Prelim,10900,8500,2500,0.227
2019,Annual,Discovery Bay CDP,Not Adj,Not Prelim,7900,7600,200,0.028
2018,Annual,Discovery Bay CDP,Not Adj,Not Prelim,7800,7600,200,0.030
2017,Annual,Discovery Bay CDP,Not Adj,Not Prelim,7800,7500,300,0.035
2016,Annual,Discovery Bay CDP,Not Adj,Not Prelim,7700,7400,300,0.041
2015,Annual,Discovery Bay CDP,Not Adj,Not Prelim,7600,7200,400,0.046
2014,Annual,Discovery Bay CDP,Not Adj,Not Prelim,7500,7100,400,0.057
2013,Annual,Discovery Bay CDP,Not Adj,Not Prelim,7500,7000,500,0.069
2012,Annual,Discovery Bay CDP,Not Adj,Not Prelim,7500,6800,600,0.083
2011,Annual,Discovery Bay CDP,Not Adj,Not Prelim,7400,6700,700,0.095
2010,Annual,Discovery Bay CDP,Not Adj,Not Prelim,7300,6600,700,0.102
2019,Annual,Dixon city,Not Adj,Not Prelim,9700,9400,400,0.038
2018,Annual,Dixon city,Not Adj,Not Prelim,9700,9300,400,0.040
2017,Annual,Dixon city,Not Adj,Not Prelim,9700,9200,500,0.048
2016,Annual,Dixon city,Not Adj,Not Prelim,9600,9100,500,0.055
2015,Annual,Dixon city,Not Adj,Not Prelim,9500,8900,600,0.061
2014,Annual,Dixon city,Not Adj,Not Prelim,9400,8700,700,0.075
2013,Annual,Dixon city,Not Adj,Not Prelim,9400,8600,900,0.091
2012,Annual,Dixon city,Not Adj,Not Prelim,9400,8400,1000,0.107
2011,Annual,Dixon city,Not Adj,Not Prelim,9400,8200,1100,0.122
2010,Annual,Dixon city,Not Adj,Not Prelim,9400,8200,1200,0.126
2019,Annual,Dixon Lane Meadow Creek CDP,Not Adj,Not Prelim,1240,1190,50,0.039
2018,Annual,Dixon Lane Meadow Creek CDP,Not Adj,Not Prelim,1240,1180,50,0.044
2017,Annual,Dixon Lane Meadow Creek CDP,Not Adj,Not Prelim,1220,1160,60,0.049
2016,Annual,Dixon Lane Meadow Creek CDP,Not Adj,Not Prelim,1260,1190,70,0.059
2015,Annual,Dixon Lane Meadow Creek CDP,Not Adj,Not Prelim,1290,1210,80,0.065
2014,Annual,Dixon Lane Meadow Creek CDP,Not Adj,Not Prelim,1310,1210,100,0.076
2013,Annual,Dixon Lane Meadow Creek CDP,Not Adj,Not Prelim,1340,1220,120,0.087
2012,Annual,Dixon Lane Meadow Creek CDP,Not Adj,Not Prelim,1370,1230,140,0.101
2011,Annual,Dixon Lane Meadow Creek CDP,Not Adj,Not Prelim,1380,1240,150,0.108
2010,Annual,Dixon Lane Meadow Creek CDP,Not Adj,Not Prelim,1390,1240,150,0.108
2019,Annual,Dollar Point CDP,Not Adj,Not Prelim,500,500,0,0.021
2018,Annual,Dollar Point CDP,Not Adj,Not Prelim,500,500,0,0.021
2017,Annual,Dollar Point CDP,Not Adj,Not Prelim,500,500,0,0.025
2016,Annual,Dollar Point CDP,Not Adj,Not Prelim,500,500,0,0.030
2015,Annual,Dollar Point CDP,Not Adj,Not Prelim,500,500,0,0.034
2014,Annual,Dollar Point CDP,Not Adj,Not Prelim,500,500,0,0.043
2013,Annual,Dollar Point CDP,Not Adj,Not Prelim,500,500,0,0.053
2012,Annual,Dollar Point CDP,Not Adj,Not Prelim,500,500,0,0.064
2011,Annual,Dollar Point CDP,Not Adj,Not Prelim,500,400,0,0.075
2010,Annual,Dollar Point CDP,Not Adj,Not Prelim,500,400,0,0.080
2019,Annual,Dorrington CDP,Not Adj,Not Prelim,80,70,0,0.053
2018,Annual,Dorrington CDP,Not Adj,Not Prelim,80,70,0,0.053
2017,Annual,Dorrington CDP,Not Adj,Not Prelim,70,70,0,0.054
2016,Annual,Dorrington CDP,Not Adj,Not Prelim,70,70,10,0.068
2015,Annual,Dorrington CDP,Not Adj,Not Prelim,70,70,10,0.082
2014,Annual,Dorrington CDP,Not Adj,Not Prelim,70,70,10,0.097
2013,Annual,Dorrington CDP,Not Adj,Not Prelim,70,60,10,0.123
2012,Annual,Dorrington CDP,Not Adj,Not Prelim,70,60,10,0.151
2011,Annual,Dorrington CDP,Not Adj,Not Prelim,80,60,10,0.173
2010,Annual,Dorrington CDP,Not Adj,Not Prelim,80,60,10,0.182
2019,Annual,Dos Palos city,Not Adj,Not Prelim,2200,2000,100,0.061
2018,Annual,Dos Palos city,Not Adj,Not Prelim,2200,2000,100,0.063
2017,Annual,Dos Palos city,Not Adj,Not Prelim,2200,2000,200,0.071
2016,Annual,Dos Palos city,Not Adj,Not Prelim,2100,2000,200,0.080
2015,Annual,Dos Palos city,Not Adj,Not Prelim,2100,1900,200,0.086
2014,Annual,Dos Palos city,Not Adj,Not Prelim,2100,1900,200,0.097
2013,Annual,Dos Palos city,Not Adj,Not Prelim,2100,1900,200,0.111
2012,Annual,Dos Palos city,Not Adj,Not Prelim,2100,1800,300,0.125
2011,Annual,Dos Palos city,Not Adj,Not Prelim,2100,1800,300,0.136
2010,Annual,Dos Palos city,Not Adj,Not Prelim,2100,1800,300,0.138
2019,Annual,Downey city,Not Adj,Not Prelim,57500,55200,2400,0.041
2018,Annual,Downey city,Not Adj,Not Prelim,57300,54800,2500,0.044
2017,Annual,Downey city,Not Adj,Not Prelim,57300,54700,2600,0.045
2016,Annual,Downey city,Not Adj,Not Prelim,56900,54000,2900,0.051
2015,Annual,Downey city,Not Adj,Not Prelim,56300,53000,3300,0.059
2014,Annual,Downey city,Not Adj,Not Prelim,56600,52500,4200,0.073
2013,Annual,Downey city,Not Adj,Not Prelim,56300,51400,4900,0.087
2012,Annual,Downey city,Not Adj,Not Prelim,55800,50400,5400,0.097
2011,Annual,Downey city,Not Adj,Not Prelim,56000,49900,6100,0.109
2010,Annual,Downey city,Not Adj,Not Prelim,55900,49700,6200,0.112
2019,Annual,Duarte city,Not Adj,Not Prelim,11100,10500,600,0.054
2018,Annual,Duarte city,Not Adj,Not Prelim,11000,10400,600,0.056
2017,Annual,Duarte city,Not Adj,Not Prelim,11000,10400,600,0.058
2016,Annual,Duarte city,Not Adj,Not Prelim,10900,10200,700,0.063
2015,Annual,Duarte city,Not Adj,Not Prelim,10800,10000,900,0.080
2014,Annual,Duarte city,Not Adj,Not Prelim,10900,9800,1100,0.099
2013,Annual,Duarte city,Not Adj,Not Prelim,10900,9600,1300,0.116
2012,Annual,Duarte city,Not Adj,Not Prelim,10800,9400,1400,0.130
2011,Annual,Duarte city,Not Adj,Not Prelim,10900,9300,1600,0.145
2010,Annual,Duarte city,Not Adj,Not Prelim,10800,9200,1600,0.148
2019,Annual,Dublin city,Not Adj,Not Prelim,32500,31700,800,0.025
2018,Annual,Dublin city,Not Adj,Not Prelim,32500,31600,900,0.027
2017,Annual,Dublin city,Not Adj,Not Prelim,31100,30100,1000,0.032
2016,Annual,Dublin city,Not Adj,Not Prelim,30400,29300,1100,0.036
2015,Annual,Dublin city,Not Adj,Not Prelim,28800,27900,800,0.029
2014,Annual,Dublin city,Not Adj,Not Prelim,27300,26300,1000,0.036
2013,Annual,Dublin city,Not Adj,Not Prelim,26200,25000,1200,0.045
2012,Annual,Dublin city,Not Adj,Not Prelim,24600,23200,1300,0.055
2011,Annual,Dublin city,Not Adj,Not Prelim,23500,22000,1500,0.064
2010,Annual,Dublin city,Not Adj,Not Prelim,23100,21500,1600,0.069
2019,Annual,Ducor CDP,Not Adj,Not Prelim,200,200,0,0.088
2018,Annual,Ducor CDP,Not Adj,Not Prelim,200,200,0,0.092
2017,Annual,Ducor CDP,Not Adj,Not Prelim,200,200,0,0.096
2016,Annual,Ducor CDP,Not Adj,Not Prelim,200,200,0,0.105
2015,Annual,Ducor CDP,Not Adj,Not Prelim,200,200,0,0.109
2014,Annual,Ducor CDP,Not Adj,Not Prelim,200,200,0,0.121
2013,Annual,Ducor CDP,Not Adj,Not Prelim,200,200,0,0.136
2012,Annual,Ducor CDP,Not Adj,Not Prelim,200,200,0,0.153
2011,Annual,Ducor CDP,Not Adj,Not Prelim,200,200,0,0.160
2010,Annual,Ducor CDP,Not Adj,Not Prelim,200,200,0,0.160
2019,Annual,Dunsmuir city,Not Adj,Not Prelim,640,620,30,0.040
2018,Annual,Dunsmuir city,Not Adj,Not Prelim,650,620,30,0.042
2017,Annual,Dunsmuir city,Not Adj,Not Prelim,660,630,30,0.045
2016,Annual,Dunsmuir city,Not Adj,Not Prelim,660,630,40,0.053
2015,Annual,Dunsmuir city,Not Adj,Not Prelim,660,620,40,0.058
2014,Annual,Dunsmuir city,Not Adj,Not Prelim,660,610,50,0.070
2013,Annual,Dunsmuir city,Not Adj,Not Prelim,660,610,60,0.083
2012,Annual,Dunsmuir city,Not Adj,Not Prelim,680,610,70,0.100
2011,Annual,Dunsmuir city,Not Adj,Not Prelim,690,620,80,0.110
2010,Annual,Dunsmuir city,Not Adj,Not Prelim,700,630,80,0.108
2019,Annual,Durham CDP,Not Adj,Not Prelim,2800,2800,100,0.024
2018,Annual,Durham CDP,Not Adj,Not Prelim,2900,2800,100,0.023
2017,Annual,Durham CDP,Not Adj,Not Prelim,2900,2800,100,0.027
2016,Annual,Durham CDP,Not Adj,Not Prelim,2900,2800,100,0.031
2015,Annual,Durham CDP,Not Adj,Not Prelim,2800,2800,100,0.034
2014,Annual,Durham CDP,Not Adj,Not Prelim,2800,2700,100,0.041
2013,Annual,Durham CDP,Not Adj,Not Prelim,2800,2700,100,0.049
2012,Annual,Durham CDP,Not Adj,Not Prelim,2800,2600,200,0.059
2011,Annual,Durham CDP,Not Adj,Not Prelim,2700,2600,200,0.067
2010,Annual,Durham CDP,Not Adj,Not Prelim,2800,2600,200,0.068
2019,Annual,Dustin Acres CDP,Not Adj,Not Prelim,200,200,0,0.035
2018,Annual,Dustin Acres CDP,Not Adj,Not Prelim,200,200,0,0.035
2017,Annual,Dustin Acres CDP,Not Adj,Not Prelim,200,200,0,0.040
2016,Annual,Dustin Acres CDP,Not Adj,Not Prelim,200,200,0,0.045
2015,Annual,Dustin Acres CDP,Not Adj,Not Prelim,200,200,0,0.044
2014,Annual,Dustin Acres CDP,Not Adj,Not Prelim,200,200,0,0.044
2013,Annual,Dustin Acres CDP,Not Adj,Not Prelim,200,200,0,0.053
2012,Annual,Dustin Acres CDP,Not Adj,Not Prelim,200,200,0,0.059
2011,Annual,Dustin Acres CDP,Not Adj,Not Prelim,200,200,0,0.070
2010,Annual,Dustin Acres CDP,Not Adj,Not Prelim,200,200,0,0.072
2019,Annual,Earlimart CDP,Not Adj,Not Prelim,3900,3400,600,0.146
2018,Annual,Earlimart CDP,Not Adj,Not Prelim,3900,3300,600,0.149
2017,Annual,Earlimart CDP,Not Adj,Not Prelim,4000,3300,600,0.158
2016,Annual,Earlimart CDP,Not Adj,Not Prelim,4000,3300,700,0.169
2015,Annual,Earlimart CDP,Not Adj,Not Prelim,3900,3300,700,0.175
2014,Annual,Earlimart CDP,Not Adj,Not Prelim,3900,3100,800,0.196
2013,Annual,Earlimart CDP,Not Adj,Not Prelim,4000,3100,800,0.213
2012,Annual,Earlimart CDP,Not Adj,Not Prelim,4000,3100,1000,0.237
2011,Annual,Earlimart CDP,Not Adj,Not Prelim,4100,3100,1000,0.250
2010,Annual,Earlimart CDP,Not Adj,Not Prelim,4100,3100,1000,0.251
2019,Annual,East Foothills CDP,Not Adj,Not Prelim,3700,3600,100,0.015
2018,Annual,East Foothills CDP,Not Adj,Not Prelim,3600,3600,100,0.016
2017,Annual,East Foothills CDP,Not Adj,Not Prelim,3600,3600,100,0.020
2016,Annual,East Foothills CDP,Not Adj,Not Prelim,3600,3500,100,0.023
2015,Annual,East Foothills CDP,Not Adj,Not Prelim,3500,3400,100,0.026
2014,Annual,East Foothills CDP,Not Adj,Not Prelim,3400,3300,100,0.032
2013,Annual,East Foothills CDP,Not Adj,Not Prelim,3300,3200,100,0.040
2012,Annual,East Foothills CDP,Not Adj,Not Prelim,3300,3100,200,0.049
2011,Annual,East Foothills CDP,Not Adj,Not Prelim,3200,3000,200,0.058
2010,Annual,East Foothills CDP,Not Adj,Not Prelim,3100,2900,200,0.066
2019,Annual,East Hemet CDP,Not Adj,Not Prelim,8300,7700,500,0.066
2018,Annual,East Hemet CDP,Not Adj,Not Prelim,8200,7600,600,0.070
2017,Annual,East Hemet CDP,Not Adj,Not Prelim,8100,7400,700,0.082
2016,Annual,East Hemet CDP,Not Adj,Not Prelim,8000,7200,800,0.095
2015,Annual,East Hemet CDP,Not Adj,Not Prelim,7900,7100,800,0.104
2014,Annual,East Hemet CDP,Not Adj,Not Prelim,7800,6800,1000,0.126
2013,Annual,East Hemet CDP,Not Adj,Not Prelim,7700,6600,1200,0.150
2012,Annual,East Hemet CDP,Not Adj,Not Prelim,7700,6400,1400,0.175
2011,Annual,East Hemet CDP,Not Adj,Not Prelim,7700,6200,1500,0.196
2010,Annual,East Hemet CDP,Not Adj,Not Prelim,7800,6200,1600,0.206
2019,Annual,East Los Angeles CDP,Not Adj,Not Prelim,56000,51900,4100,0.073
2018,Annual,East Los Angeles CDP,Not Adj,Not Prelim,55800,51500,4200,0.076
2017,Annual,East Los Angeles CDP,Not Adj,Not Prelim,55700,51400,4400,0.078
2016,Annual,East Los Angeles CDP,Not Adj,Not Prelim,55300,50500,4800,0.086
2015,Annual,East Los Angeles CDP,Not Adj,Not Prelim,55300,49300,5900,0.107
2014,Annual,East Los Angeles CDP,Not Adj,Not Prelim,56000,48600,7400,0.133
2013,Annual,East Los Angeles CDP,Not Adj,Not Prelim,56300,47500,8700,0.155
2012,Annual,East Los Angeles CDP,Not Adj,Not Prelim,56100,46400,9700,0.172
2011,Annual,East Los Angeles CDP,Not Adj,Not Prelim,56700,45900,10800,0.191
2010,Annual,East Los Angeles CDP,Not Adj,Not Prelim,56700,45600,11100,0.195
2019,Annual,East Oakdale CDP,Not Adj,Not Prelim,1600,1500,100,0.051
2018,Annual,East Oakdale CDP,Not Adj,Not Prelim,1600,1500,100,0.055
2017,Annual,East Oakdale CDP,Not Adj,Not Prelim,1600,1500,100,0.063
2016,Annual,East Oakdale CDP,Not Adj,Not Prelim,1600,1500,100,0.073
2015,Annual,East Oakdale CDP,Not Adj,Not Prelim,1600,1500,100,0.080
2014,Annual,East Oakdale CDP,Not Adj,Not Prelim,1600,1400,100,0.095
2013,Annual,East Oakdale CDP,Not Adj,Not Prelim,1600,1400,200,0.110
2012,Annual,East Oakdale CDP,Not Adj,Not Prelim,1600,1400,200,0.127
2011,Annual,East Oakdale CDP,Not Adj,Not Prelim,1600,1300,200,0.141
2010,Annual,East Oakdale CDP,Not Adj,Not Prelim,1600,1300,200,0.145
2019,Annual,Easton CDP,Not Adj,Not Prelim,1100,1000,100,0.077
2018,Annual,Easton CDP,Not Adj,Not Prelim,1100,1000,100,0.080
2017,Annual,Easton CDP,Not Adj,Not Prelim,1100,1000,100,0.090
2016,Annual,Easton CDP,Not Adj,Not Prelim,1100,900,100,0.100
2015,Annual,Easton CDP,Not Adj,Not Prelim,1000,900,100,0.108
2014,Annual,Easton CDP,Not Adj,Not Prelim,1000,900,100,0.122
2013,Annual,Easton CDP,Not Adj,Not Prelim,1000,900,100,0.140
2012,Annual,Easton CDP,Not Adj,Not Prelim,1000,900,200,0.159
2011,Annual,Easton CDP,Not Adj,Not Prelim,1100,900,200,0.174
2010,Annual,Easton CDP,Not Adj,Not Prelim,1000,900,200,0.175
2019,Annual,East Orosi CDP,Not Adj,Not Prelim,400,300,100,0.291
2018,Annual,East Orosi CDP,Not Adj,Not Prelim,400,300,100,0.296
2017,Annual,East Orosi CDP,Not Adj,Not Prelim,400,300,100,0.311
2016,Annual,East Orosi CDP,Not Adj,Not Prelim,400,300,100,0.326
2015,Annual,East Orosi CDP,Not Adj,Not Prelim,400,300,100,0.338
2014,Annual,East Orosi CDP,Not Adj,Not Prelim,400,200,100,0.369
2013,Annual,East Orosi CDP,Not Adj,Not Prelim,400,200,200,0.394
2012,Annual,East Orosi CDP,Not Adj,Not Prelim,400,200,200,0.427
2011,Annual,East Orosi CDP,Not Adj,Not Prelim,400,200,200,0.444
2010,Annual,East Orosi CDP,Not Adj,Not Prelim,400,200,200,0.445
2019,Annual,East Palo Alto city,Not Adj,Not Prelim,15100,14800,400,0.024
2018,Annual,East Palo Alto city,Not Adj,Not Prelim,14800,14400,400,0.028
2017,Annual,East Palo Alto city,Not Adj,Not Prelim,14800,14300,500,0.032
2016,Annual,East Palo Alto city,Not Adj,Not Prelim,14700,14200,600,0.037
2015,Annual,East Palo Alto city,Not Adj,Not Prelim,14700,13900,800,0.054
2014,Annual,East Palo Alto city,Not Adj,Not Prelim,14600,13600,1000,0.067
2013,Annual,East Palo Alto city,Not Adj,Not Prelim,14400,13200,1200,0.083
2012,Annual,East Palo Alto city,Not Adj,Not Prelim,14300,12900,1400,0.100
2011,Annual,East Palo Alto city,Not Adj,Not Prelim,14000,12400,1600,0.117
2010,Annual,East Palo Alto city,Not Adj,Not Prelim,13800,12100,1800,0.129
2019,Annual,East Pasadena CDP,Not Adj,Not Prelim,3100,3100,100,0.018
2018,Annual,East Pasadena CDP,Not Adj,Not Prelim,3100,3000,100,0.019
2017,Annual,East Pasadena CDP,Not Adj,Not Prelim,3100,3000,100,0.019
2016,Annual,East Pasadena CDP,Not Adj,Not Prelim,3000,3000,100,0.022
2015,Annual,East Pasadena CDP,Not Adj,Not Prelim,3000,2900,100,0.027
2014,Annual,East Pasadena CDP,Not Adj,Not Prelim,3000,2900,100,0.035
2013,Annual,East Pasadena CDP,Not Adj,Not Prelim,2900,2800,100,0.041
2012,Annual,East Pasadena CDP,Not Adj,Not Prelim,2900,2700,100,0.047
2011,Annual,East Pasadena CDP,Not Adj,Not Prelim,2900,2700,200,0.053
2010,Annual,East Pasadena CDP,Not Adj,Not Prelim,2800,2700,200,0.054
2019,Annual,East Porterville CDP,Not Adj,Not Prelim,2600,2000,600,0.223
2018,Annual,East Porterville CDP,Not Adj,Not Prelim,2600,2000,600,0.227
2017,Annual,East Porterville CDP,Not Adj,Not Prelim,2700,2000,600,0.239
2016,Annual,East Porterville CDP,Not Adj,Not Prelim,2700,2000,700,0.254
2015,Annual,East Porterville CDP,Not Adj,Not Prelim,2700,2000,700,0.262
2014,Annual,East Porterville CDP,Not Adj,Not Prelim,2700,1900,800,0.290
2013,Annual,East Porterville CDP,Not Adj,Not Prelim,2800,1900,900,0.312
2012,Annual,East Porterville CDP,Not Adj,Not Prelim,2800,1900,1000,0.342
2011,Annual,East Porterville CDP,Not Adj,Not Prelim,2900,1900,1000,0.358
2010,Annual,East Porterville CDP,Not Adj,Not Prelim,2900,1900,1000,0.359
2019,Annual,East Quincy CDP,Not Adj,Not Prelim,1230,1220,10,0.011
2018,Annual,East Quincy CDP,Not Adj,Not Prelim,1220,1210,10,0.011
2017,Annual,East Quincy CDP,Not Adj,Not Prelim,1200,1190,20,0.013
2016,Annual,East Quincy CDP,Not Adj,Not Prelim,1200,1190,20,0.013
2015,Annual,East Quincy CDP,Not Adj,Not Prelim,1200,1180,20,0.014
2014,Annual,East Quincy CDP,Not Adj,Not Prelim,1220,1200,20,0.016
2013,Annual,East Quincy CDP,Not Adj,Not Prelim,1210,1190,20,0.020
2012,Annual,East Quincy CDP,Not Adj,Not Prelim,1220,1190,30,0.024
2011,Annual,East Quincy CDP,Not Adj,Not Prelim,1260,1230,30,0.026
2010,Annual,East Quincy CDP,Not Adj,Not Prelim,1290,1250,40,0.028
2019,Annual,East Richmond Heights CDP,Not Adj,Not Prelim,1900,1900,0,0.014
2018,Annual,East Richmond Heights CDP,Not Adj,Not Prelim,1900,1900,0,0.015
2017,Annual,East Richmond Heights CDP,Not Adj,Not Prelim,1900,1900,0,0.017
2016,Annual,East Richmond Heights CDP,Not Adj,Not Prelim,1900,1800,0,0.020
2015,Annual,East Richmond Heights CDP,Not Adj,Not Prelim,1800,1800,0,0.023
2014,Annual,East Richmond Heights CDP,Not Adj,Not Prelim,1800,1800,100,0.028
2013,Annual,East Richmond Heights CDP,Not Adj,Not Prelim,1800,1700,100,0.034
2012,Annual,East Richmond Heights CDP,Not Adj,Not Prelim,1800,1700,100,0.042
2011,Annual,East Richmond Heights CDP,Not Adj,Not Prelim,1700,1700,100,0.048
2010,Annual,East Richmond Heights CDP,Not Adj,Not Prelim,1700,1600,100,0.052
2019,Annual,East San Gabriel CDP,Not Adj,Not Prelim,7700,7500,100,0.017
2018,Annual,East San Gabriel CDP,Not Adj,Not Prelim,7600,7500,100,0.018
2017,Annual,East San Gabriel CDP,Not Adj,Not Prelim,7600,7500,100,0.018
2016,Annual,East San Gabriel CDP,Not Adj,Not Prelim,7500,7300,200,0.020
