company,written_premium_(b),market_share,earned_premium_(b),incurred_loss_(b),loss_ratio,year
Great Amer Spirit Ins Co - 33723,2,0.00%,2,1,50.00%,2014
Great Divide Ins Co - 25224,"14,307",0.00%,"17,013","-8,353",-49.10%,2014
Great Northern Ins Co - 20303,"285,602",0.03%,"283,865","13,348",4.70%,2014
Greenwich Ins Co - 22322,"744,301",0.08%,"686,888","-201,061",-29.27%,2014
Guideone Mut Ins Co - 15032,"36,992",0.00%,"56,634","13,291",23.47%,2014
Guideone Specialty Mut Ins Co - 14559,"279,600",0.03%,"222,274","99,513",44.77%,2014
Hanover Amer Ins Co - 36064,"62,974",0.01%,"61,594",870,1.41%,2014
Hanover Ins Co - 22292,"290,761",0.03%,"244,872","81,199",33.16%,2014
Harco Natl Ins Co - 26433,"98,624",0.01%,"90,880","34,573",38.04%,2014
Hartford Cas Ins Co - 29424,"222,643",0.02%,"222,953",14,0.01%,2014
Hartford Underwriters Ins Co - 30104,"1,627,648",0.17%,"1,611,392","264,208",16.40%,2014
Horace Mann Ins Co - 22578,"693,418",0.07%,"687,074","499,305",72.67%,2014
Horace Mann Prop & Cas Ins Co - 22756,"149,607",0.02%,"150,280","34,820",23.17%,2014
Hudson Ins Co - 25054,"40,888",0.00%,"45,668","71,794",157.21%,2014
Imperium Ins Co - 35408,"26,298",0.00%,"28,412", -   ,0.00%,2014
Indemnity Ins Co Of North Amer - 43575,"2,429",0.00%,"2,385",191,8.01%,2014
Insurance Co of N Amer - 22713,"654,115",0.07%,"563,430","204,940",36.37%,2014
Insurance Co Of The State Of PA - 19429,"15,619,805",1.59%,"13,381,564","659,463",4.93%,2014
Integon Natl Ins Co - 29742,"106,845",0.01%,"23,290","8,559",36.75%,2014
Interins Exch Of The Automobile Club - 15598,"19,735,444",2.00%,"18,972,618","7,533,133",39.71%,2014
Kemper Independence Ins Co - 10914,"3,855,880",0.39%,"3,767,764","690,459",18.33%,2014
Liberty Mut Fire Ins Co - 23035,"35,600,905",3.62%,"35,051,309","21,462,454",61.23%,2014
Liberty Mut Ins Co - 23043,"3,762,865",0.38%,"3,564,896","1,259,413",35.33%,2014
Mapfre Ins Co - 23876,"217,954",0.02%,"133,903","74,298",55.49%,2014
Markel Amer Ins Co - 28932,"426,148",0.04%,"426,148","259,717",60.95%,2014
Markel Ins Co - 38970,150,0.00%,"16,398",18,0.11%,2014
Massachusetts Bay Ins Co - 22306,"81,968",0.01%,"84,950","-3,640",-4.28%,2014
Mercury Cas Co - 11908,"13,927,414",1.41%,"13,546,096","5,842,645",43.13%,2014
Metropolitan Drt Prop & Cas Ins Co - 25321,"71,795",0.01%,"64,698","17,610",27.22%,2014
Mid Century Ins Co - 21687,"5,317",0.00%,"6,619","210,459",3179.62%,2014
Middlesex Ins Co - 23434,"2,458",0.00%,"3,938",74,1.88%,2014
Mitsui Sumitomo Ins Co of Amer - 20362,"217,613",0.02%,"211,109","70,693",33.49%,2014
Mitsui Sumitomo Ins USA Inc - 22551,"36,453",0.00%,"40,796","10,200",25.00%,2014
Monterey Ins Co - 23540,"38,849",0.00%,"37,498","12,610",33.63%,2014
National Cas Co - 11991,"2,096",0.00%,"3,205",663,20.69%,2014
National Farmers Union Prop & Cas - 16217,"2,033",0.00%,"4,782","1,511",31.60%,2014
National Fire Ins Co Of Hartford - 20478,"3,076",0.00%,"8,010",-103,-1.29%,2014
National Interstate Ins Co - 32620,"7,998",0.00%,"7,492", -   ,0.00%,2014
National Surety Corp - 21881,"6,420",0.00%,"6,420","-2,467",-38.43%,2014
National Union Fire Ins Co Of Pitts - 19445,"8,620,461",0.88%,"7,868,281","-58,121",-0.74%,2014
Nationwide Agribusiness Ins Co - 28223,"1,445,136",0.15%,"1,029,395","576,114",55.97%,2014
Nationwide Ins Co Of Amer - 25453,"2,959,663",0.30%,"2,786,403","1,439,893",51.68%,2014
Nationwide Mut Fire Ins Co - 23779,"293,508",0.03%,"303,165","62,675",20.67%,2014
Nationwide Mut Ins Co - 23787,"6,867,996",0.70%,"6,472,467","3,758,824",58.07%,2014
Neighborhood Spirit Prop & Cas Co - 10317,"8,222,856",0.84%,"8,133,957","4,053,169",49.83%,2014
Netherlands Ins Co The - 24171,"11,195",0.00%,"18,233",-198,-1.09%,2014
New Hampshire Ins Co - 23841,"42,480",0.00%,"31,792","1,702",5.35%,2014
New York Marine & Gen Ins Co - 16608,"16,489",0.00%,"27,096","175,418",647.39%,2014
Northland Ins Co - 24015,"5,414",0.00%,"5,167","2,117",40.97%,2014
Nova Cas Co - 42552,"96,604",0.01%,"92,083","72,706",78.96%,2014
Ohio Cas Ins Co - 24074,"299,684",0.03%,"123,653","7,375",5.96%,2014
Ohio Security Ins Co - 24082,"638,914",0.06%,"246,750","33,116",13.42%,2014
Oregon Mut Ins Co - 14907,"1,373,428",0.14%,"1,411,248","42,539",3.01%,2014
Pacific Employers Ins Co - 22748,"550,314",0.06%,"257,428","26,735",10.39%,2014
Pacific Ind Co - 20346,"6,934",0.00%,"6,923","2,260",32.64%,2014
Pacific Prop & Cas Co - 11048,"142,722",0.01%,"123,353","27,436",22.24%,2014
Peerless Ind Ins Co - 18333,"173,148",0.02%,"195,876","32,622",16.65%,2014
Peerless Ins Co - 24198,"9,406,434",0.96%,"10,946,976","2,140,889",19.56%,2014
Penn Amer Ins Co - 32859,"36,515",0.00%,"39,305","3,675",9.35%,2014
Pennsylvania Lumbermens Mut Ins - 14974,"402,932",0.04%,"273,932", -   ,0.00%,2014
Philadelphia Ind Ins Co - 18058,"15,653",0.00%,"10,194",6,0.06%,2014
Praetorian Ins Co - 37257,"20,428",0.00%,"21,147","8,155",38.56%,2014
QBE Ins Corp - 39217,"1,827,739",0.19%,"1,606,989","617,794",38.44%,2014
Regent Ins Co - 24449,773,0.00%,748,29,3.88%,2014
Residence Mut Ins Co - 15776,"2,363,202",0.24%,"2,320,576","532,727",22.96%,2014
Riverport Ins Co - 36684,"1,239,620",0.13%,"1,212,067","57,981",4.78%,2014
RSUI Ind Co - 22314,"1,825,473",0.19%,"1,910,596","237,281",12.42%,2014
Safeco Ins Co Of Amer - 24740,"66,623,618",6.77%,"64,788,692","21,548,663",33.26%,2014
Samsung Fire & Marine Ins Co Ltd - 38300,"18,276",0.00%,"16,663","-1,000",-6.00%,2014
Scottsdale Ind Co - 15580,"14,005",0.00%,"14,686","2,907",19.79%,2014
Security Natl Ins Co - 19879,"842,954",0.09%,"857,566","-663,274",-77.34%,2014
Seneca Ins Co Inc - 10936,"1,047,108",0.11%,"1,133,804","350,874",30.95%,2014
Sentry Ins A Mut Co - 24988,"2,748,895",0.28%,"2,737,344","7,142,618",260.93%,2014
Sentry Select Ins Co - 21180,"1,240,754",0.13%,"1,324,539","2,235,306",168.76%,2014
Sequoia Ins Co - 22985,"218,645",0.02%,"211,191","90,264",42.74%,2014
Sompo Japan Ins Co of Amer - 11126,"3,242,829",0.33%,"4,706,181","923,477",19.62%,2014
St Paul Fire & Marine Ins Co - 24767,"1,147,680",0.12%,"1,159,410","146,100",12.60%,2014
St Paul Guardian Ins Co - 24775,"7,440",0.00%,"6,541","-10,240",-156.55%,2014
St Paul Mercury Ins Co - 24791,"26,086",0.00%,"39,827","-17,130",-43.01%,2014
Standard Fire Ins Co - 19070,"2,217,363",0.23%,"2,164,826","378,091",17.47%,2014
Standard Guar Ins Co - 42986,"127,696",0.01%,"123,453","-4,761",-3.86%,2014
Star Ins Co - 18023,"2,104",0.00%,"1,598",-117,-7.32%,2014
Starnet Ins Co - 40045,"82,946",0.01%,"109,680","-32,259",-29.41%,2014
Starr Ind & Liab Co - 38318,"243,396",0.02%,"130,761","64,277",49.16%,2014
State Farm Gen Ins Co - 25151,"8,847,938",0.90%,"8,810,638","2,598,550",29.49%,2014
Stillwater Ins Co - 25180,"2,673,072",0.27%,"2,511,830","868,604",34.58%,2014
Sutter Ins Co - 32107,"207,474",0.02%,"215,896","82,456",38.19%,2014
Technology Ins Co Inc - 42376,831,0.00%,71,16,22.54%,2014
TNUS Ins Co - 32301,5,0.00%,5, -   ,0.00%,2014
Tokio Marine Amer Ins Co - 10945,"6,907,474",0.70%,"7,098,607","-1,026,767",-14.46%,2014
Topa Ins Co - 18031,"630,097",0.06%,"694,791","-48,393",-6.97%,2014
Transguard Ins Co Of Amer Inc - 28886,"52,765",0.01%,"53,117","16,816",31.66%,2014
Transportation Ins Co - 20494,"1,061",0.00%,"15,131","12,712",84.01%,2014
Travelers Cas & Surety Co - 19038,"1,422,432",0.14%,"1,382,983","163,975",11.86%,2014
Travelers Ind Co - 25658,"24,566",0.00%,"9,308", -   ,0.00%,2014
Travelers Ind Co Of CT - 25682,"784,035",0.08%,"810,922","1,800,496",222.03%,2014
Travelers Prop Cas Co Of Amer - 25674,"40,243,094",4.09%,"41,063,892","34,723,394",84.56%,2014
Travelers Prop Cas Ins Co - 36161,"11,816,764",1.20%,"11,932,444","6,990,598",58.58%,2014
Truck Ins Exch - 21709,"612,359",0.06%,"597,248","420,307",70.37%,2014
Unigard Ins Co - 25747,"3,606,189",0.37%,"3,738,689","36,158",0.97%,2014
United Cas Ins Co Of Amer - 11142,"635,939",0.06%,"636,638","79,781",12.53%,2014
United Fire & Cas Co - 13021,"769,665",0.08%,"136,033","4,110",3.02%,2014
United Serv Automobile Assn - 25941,"18,253,406",1.85%,"18,083,768","3,237,221",17.90%,2014
United States Fire Ins Co - 21113,"15,460",0.00%,"-283,794","-38,882",13.70%,2014
United States Liab Ins Co - 25895,"5,494,057",0.56%,"5,181,213","2,455,612",47.39%,2014
Universal N Amer Ins Co - 10759,"14,324,459",1.46%,"13,644,832","6,230,608",45.66%,2014
Universal Underwriters Ins Co - 41181,"987,579",0.10%,"915,762","823,787",89.96%,2014
USAA Cas Ins Co - 25968,"9,632,646",0.98%,"9,470,598","1,153,908",12.18%,2014
USAA Gen Ind Co - 18600,"1,247,081",0.13%,"1,098,079","9,141",0.83%,2014
Utica Mut Ins Co - 25976,626,0.00%,185,29,15.68%,2014
Valley Forge Ins Co - 20508,"10,177",0.00%,"14,332",440,3.07%,2014
Vanliner Ins Co - 21172,"9,331",0.00%,"9,838", -   ,0.00%,2014
Verlan Fire Ins Co MD - 10815,"3,426,781",0.35%,"3,176,637","6,250",0.20%,2014
Vigilant Ins Co - 20397,"74,733",0.01%,"84,274","26,469",31.41%,2014
Wausau Underwriters Ins Co - 26042,"44,569",0.00%,"36,708","3,727",10.15%,2014
Wawanesa Gen Ins Co - 10683,"104,891",0.01%,"97,601","33,013",33.82%,2014
Wesco Ins Co - 25011,"1,009,717",0.10%,"889,627","171,033",19.23%,2014
West Amer Ins Co - 44393,"716,261",0.07%,"278,392","11,953",4.29%,2014
Westchester Fire Ins Co - 10030,"4,871,341",0.49%,"4,877,132","3,104,822",63.66%,2014
Western Mut Ins Co - 13625,"75,574",0.01%,"74,908","32,080",42.83%,2014
Westport Ins Corp - 39845,"8,937,155",0.91%,"11,185,215","4,640,743",41.49%,2014
XL Ins Amer Inc - 24554,"16,019,599",1.63%,"15,575,504","34,329,888",220.41%,2014
XL Specialty Ins Co - 37885,"42,760",0.00%,"17,650","2,248",12.74%,2014
Zenith Ins Co - 13269,"4,000,778",0.41%,"3,694,442","332,743",9.01%,2014
Zurich Amer Ins Co - 16535,"40,442,903",4.11%,"36,231,692","19,378,787",53.49%,2014
Zurich Amer Ins Co Of IL - 27855,"57,293",0.01%,"51,908","71,496",137.74%,2014
Merced Prop & Cas Co - 15768,"427,217",0.04%,"418,841","5,906",1.41%,2014
Yosemite Ins Co - 26220,"146,623",0.01%,"296,811","111,506",37.57%,2014
Employers Ins  of Wausau - 21458,"2,541",0.00%,"2,371","-3,383",-142.68%,2014
Unigard Ind Co - 25798,"3,318",0.00%,"3,509",-223,-6.36%,2014
Cincinnati Ins Co - 10677,"75,687",0.01%,"97,779","3,107",3.18%,2014
Public Serv Ins Co - 15059,"21,100",0.00%,"23,460","7,659",32.65%,2014
Dongbu Ins Co Ltd - 12502,"123,707",0.01%,"147,558","97,936",66.37%,2014
Employers Fire Ins Co - 20648,550,0.00%,340,"-10,945",-3219.12%,2014
Hartford Fire In Co - 19682,"4,108,263",0.42%,"4,070,459","1,528,844",37.56%,2014
Personal Express Ins Co - 12832,"782,085",0.08%,"789,752","207,758",26.31%,2014
HDI Gerling Amer Ins Co - 41343,"5,860,367",0.60%,"5,999,017","1,627,856",27.14%,2014
Torus Natl Ins Co - 25496,30,0.00%,621,"-34,076",-5487.28%,2014
Lumbermens Underwriting Alliance  - 23108,"2,015,224",0.20%,"2,234,627","14,724,493",658.92%,2014
Tower Ins Co Of NY - 44300,"1,480,654",0.15%,"1,627,520","247,083",15.18%,2014
Leading Ins Grp Ins Co Ltd - 37800,"142,094",0.01%,"124,126","39,913",32.16%,2014
